CIP13,LIBELLE,rsf
3400936146426,"ACEBUTOLOL TEVA 400 mg, comprimé pelliculé, bte de 30","2,50%"
3400949243273,"ADAPALENE TEVA 0,1 %, crème, tube de 30 g","2,50%"
3400949617944,"ALLOPURINOL TEVA 100 mg, comprimé, bte de 28","2,50%"
3400949620036,"ALLOPURINOL TEVA 200 mg, comprimé, bte de 28","2,50%"
3400949623686,"ALLOPURINOL TEVA 300 mg, comprimé, bte de 28","2,50%"
3400928022417,"ALMOTRIPTAN TEVA 12,5 mg, comprimé pelliculé, bte de 6","2,50%"
3400935192059,"AMILORIDE HCTZ TEVA 5 mg / 50 mg, comprimé, bte de 30","0,00%"
3400937286534,"AMILORIDE HCTZ TEVA 5 mg / 50 mg, comprimé, bte de 90","0,00%"
3400936196223,"AMOX. ACIDE CLAV. TEVA 100 mg / 12,5 mg NOURRISSON, pps, flacon de 30 ml","2,50%"
3400930242360,"AMOXICILLINE TEVA SANTE 500 mg, gélule, bte de 12","2,50%"
3400936035843,AMOXICILLINE TEVA SANTE 125 MG PPS,"0,00%"
3400926976439,"BETAXOLOL TEVA SANTE 20 mg, comprimé, bte de 30","2,50%"
3400926976729,"BETAXOLOL TEVA SANTE 20 mg, comprimé, bte de 90","2,50%"
3400930227978,"BILASTINE TEVA 20 mg, comprimé, bte de 10","2,50%"
3400930227992,"BILASTINE TEVA 20 mg, comprimé, bte de 30","2,50%"
3400937920360,"BROMAZEPAM TEVA 6 mg, comprimé quadrisécable, bte de 30","2,50%"
3400938870381,"BUPRENORPHINE TEVA 0,4 mg, comprimé sublingual, bte de 7","2,50%"
3400938503548,"CABERGOLINE TEVA 0,5 mg, comprimé, bte de 8","0,00%"
3400926630355,"CANDESARTAN TEVA 16 mg, comprimé sécable, bte de 30","2,50%"
3400926630584,"CANDESARTAN TEVA 32 mg, comprimé sécable, bte de 30","0,00%"
3400937620932,"LEVODOPA CARBIDOPA TEVA LP 100 mg / 25 mg, comprimé, bte de 30","0,00%"
3400937621304,"LEVODOPA CARBIDOPA TEVA LP 200 mg / 50 mg, comprimé, bte de 30","0,00%"
3400922495194,"CELECOXIB TEVA 100 mg, gélule, bte de 30","0,00%"
3400939409917,"CHLORHEX. CHLOROBU. TEVA 0,5 ml / 0,5 g / 100 ml, b de b, flacon de 90 ml","2,50%"
3400930095577,"CHOLECALCIFEROL TEVA 100 000 UI, solution buvable, ampoule 2 ml, boite de 1","2,50%"
3400949726394,"CICLETANINE TEVA 50 mg, gélule, bte de 30","2,50%"
3400949726516,"CICLETANINE TEVA 50 mg, gélule, bte de 90","2,50%"
3400934917547,"COTRIMOXAZOLE TEVA 800 mg / 160 mg, comprimé, bte de 10","0,00%"
3400930281420,"DESMOPRESSINE TEVA 60 microgrammes, comprimé sublingual, bte de 30","2,50%"
3400932531097,"DIAZEPAM TEVA 2 mg, comprimé, bte de 40","0,00%"
3400938825558,"DICLOFENAC TEVA 1 %, gel, tube de 100 g","0,00%"
3400938824728,"DICLOFENAC TEVA 1 %, gel, tube de 50 g","0,00%"
3400949133932,"DICLOFENAC TEVA 1%, gel, flacon pressurisé de 100 ml","0,00%"
3400935136749,"DICLOFENAC TEVA 25 mg, comprimé enrobé gastro-résistant, bte de 30","0,00%"
3400935136800,"DICLOFENAC TEVA 50 mg, comprimé enrobé gastro-résistant, bte de 30","2,50%"
3400926929473,"DILTIAZEM TEVA SANTE LP 200 mg, gélule, bte de 28","2,50%"
3400926929992,"DILTIAZEM TEVA SANTE LP 200 mg, gélule, bte de 84","2,50%"
3400927480799,"DILTIAZEM TEVA SANTE LP 300 mg, gélule, bte de 28","0,00%"
3400926931193,"DILTIAZEM TEVA SANTE LP 300 mg, gélule, bte de 84","0,00%"
3400927481390,"ESOMEPRAZOLE TEVA 20 mg, gélule gastro-résistante, bte de 7","2,50%"
3400927481680,"ESOMEPRAZOLE TEVA 40 mg, gélule gastro-résistante, bte de 14","2,50%"
3400936145825,"FENOFIBRATE TEVA 100 mg, gélule, bte de 30","0,00%"
3400936145993,"FENOFIBRATE TEVA 300 mg, gélule, bte de 30","2,50%"
3400930109601,"GLYCEROL/VASELINE/PARAFFINE TEVA 15%/8%/2 % crème, bte de 1","2,50%"
3400930006528,"HYDROXYZINE TEVA 25 mg, comprimé pelliculé sécable, bte de 30","2,50%"
3400938940091,"IPRATROPIUM TEVA 0,25 mg/1 ml ENFANTS, sol pr inhalation/nébusilseur bte de 30","0,00%"
3400922169163,"IRBESARTAN HCTZ TEVA 300 mg / 25 mg, comprimé pelliculé, bte de 30","2,50%"
3400922169453,"IRBESARTAN HCTZ TEVA 300 mg / 25 mg, comprimé pelliculé, bte de 90","2,50%"
3400930203705,"KETOCONAZOLE TEVA 2 %, crème, tube de 15 g","2,50%"
3400939283524,"LAMOTRIGINE TEVA 200 mg, comprimé dispersible ou à croquer, bte de 30","0,00%"
3400939281742,"LAMOTRIGINE TEVA 5 mg, comprimé dispersible ou à croquer, bte de 30","0,00%"
3400938117912,"LANSOPRAZOLE TEVA SANTE 30 mg, gélule gastro-résistante, bte de 7","2,50%"
3400921626179,"LEVETIRACETAM TEVA 1000 mg, comprimé pelliculé, bte de 60","2,50%"
3400938328998,"LEVODOPA BENSERAZIDE TEVA 100 mg / 25 mg, gélule, flacon de 60","0,00%"
3400938329599,"LEVODOPA BENSERAZIDE TEVA 200 mg / 50 mg, gélule, flacon de 60","0,00%"
3400938328301,"LEVODOPA BENSERAZIDE TEVA 50 mg / 12.5 mg, gélule, flacon de 60","0,00%"
3400934368509,"LEVODOPA CARBIDOPA TEVA 100 mg / 10 mg, comprimé sécable, bte de 100","0,00%"
3400934368219,"LEVODOPA CARBIDOPA TEVA 250 mg / 25 mg, comprimé sécable, bte de 50","0,00%"
3400936144705,"MIANSERINE TEVA 60 mg, comprimé pelliculé sécable, bte de 14","2,50%"
3400934672248,"NAPROXENE SODIQUE TEVA 550 mg, comprimé pelliculé, bte de 16","0,00%"
3400930282427,"NEFOPAM TEVA 20 mg/2 mL, solution injectable, 5 ampoules de 2ml","2,50%"
3400930180525,"OCTREOTIDE TEVA LP 10 mg, poudre et solvant pour suspension injectable à libération prolongée","0,00%"
3400930180518,"OCTREOTIDE TEVA LP 20 mg, poudre et solvant pour suspension injectable à libération prolongée","0,00%"
3400930180532,"OCTREOTIDE TEVA LP 30 mg, poudre et solvant pour suspension injectable à libération prolongée","0,00%"
3400949269129,"OXOMEMAZINE TEVA 0,33 mg / ml, sirop, flacon de 150 ml","2,50%"
3400935959799,"OXYBUTYNINE TEVA 5 mg, comprimé sécable , bte de 60","2,50%"
3400930292082,"PAROXETINE TEVA SANTE 20 mg, comprimé pelliculé sécable, bte de 14x1","2,50%"
3400927943812,"PERINDOPRIL TOSILATE TEVA 10 mg, comprimé pelliculé, bte de 30","0,00%"
3400927944123,"PERINDOPRIL TOSILATE TEVA 10 mg, comprimé pelliculé, bte de 90","0,00%"
3400939108957,"PREDNISOLONE TEVA 20 mg, comprimé orodispersible, bte de 20","2,50%"
3400936481732,"PREDNISOLONE TEVA 5 mg, comprimé effervescent, bte de 30","0,00%"
3400934628245,"REPAGLINIDE TEVA 0,5 mg, comprimé, bte de 90","0,00%"
3400934628535,"REPAGLINIDE TEVA 1 mg, comprimé, bte de 90","2,50%"
3400934631665,"REPAGLINIDE TEVA 2 mg, comprimé, bte de 90","2,50%"
3400930218006,"RISPERIDONE TEVA LP 25 mg, poudre et solvant pour suspension injectable en seringue préremplie, bte de 1","0,00%"
3400930218020,"RISPERIDONE TEVA LP 37,5 mg, poudre et solvant pour suspension injectable en seringue préremplie, bte de 1","0,00%"
3400930218037,"RISPERIDONE TEVA LP 50 mg, poudre et solvant pour suspension injectable en seringue préremplie, bte de 1","0,00%"
3400938953688,"SALBUTAMOL TEVA 2,5 mg / 2,5 ml, sol p inhal p nebul en rec unidose, bte de 60","0,00%"
3400938954111,"SALBUTAMOL TEVA 5 mg / 2,5 ml, sol p inhal p nebul en rec unidose, bte de 60","0,00%"
3400936705340,"SPIRAMYCINE METRONIDAZOLE TEVA 750 000 UI/125 mg, comprimé pelliculé, bte de 20","2,50%"
3400936116498,"SPIRONOLACTONE ALTIZIDE TEVA 25 mg/15 mg, comprimé pelliculé sécable, bte de 30","2,50%"
3400937290555,"SPIRONOLACTONE ALTIZIDE TEVA 25 mg/15 mg, comprimé pelliculé sécable, bte de 90","2,50%"
3400936116320,"SPIRONOLACTONE TEVA 75 mg, comprimé pelliculé sécable, bte de 30","2,50%"
3400936143234,"SULPIRIDE TEVA 200 mg, comprimé sécable, bte de 12","0,00%"
3400936143173,"SULPIRIDE TEVA 50 mg, gélule, bte de 30","0,00%"
3400936143463,"TAMOXIFENE TEVA 10 mg, comprimé pelliculé, bte de 30","2,50%"
3400930168554,"TIXOCORTOL TEVA 1 %, suspension nasale, flacon de 10 ml","2,50%"
3400935298478,"ZOPICLONE TEVA SANTE 7,5 mg, comprimé pelliculé sécable, bte de 5","0,00%"
3400930231418,"OMEPRAZOLE TEVA PHARMA 20 mg, gélule gastro-résistante, bte de 7","2,50%"